TSN|Scientific Name|Author|Rank Name|Credibility|Name Usage|Accepted TSN|Accepted Name
176469|Haematopus ostralegus|Linnaeus, 1758|Species        |Reviewed|valid||
554590|Halcyon senegaloides|A. Smith, 1834|Species        |Reviewed|valid||
175419|Haliaeetus albicilla|(Linnaeus, 1758)|Species        |Reviewed|valid||
175420|Haliaeetus leucocephalus|(Linnaeus, 1766)|Species        |Reviewed|valid||
180653|Halichoerus grypus|(Fabricius, 1791)|Species        |Reviewed|valid||
174113|Heloderma suspectum|Cope, 1869|Species        |Reviewed|valid||
159798|Heterodontus portusjacksoni|(Meyer, 1793)|Species        |Reviewed|valid||
159819|Hexanchus griseus|(Bonnaterre, 1788)|Species        |Reviewed|valid||
625178|Hippotragus niger|(Harris, 1838)|Species        |Reviewed|valid||
622021|Histriophoca fasciata|(Zimmermann, 1783)|Species        |Reviewed|valid||
97314|Homarus americanus|H. Milne Edwards, 1837|Species        |Reviewed|valid||
97315|Homarus gammarus|(Linnaeus, 1758)|Species        |Reviewed|valid||
180092|Homo sapiens|Linnaeus, 1758|Species        |Reviewed|valid||
825303|Hydrochoerus hydrochaeris|(Linnaeus, 1766)|Species        |Reviewed|valid||
176935|Hydroprogne caspia|(Pallas, 1770)|Species        |Reviewed|valid||
180504|Hyperoodon ampullatus|(Forster, 1770)|Species        |Reviewed|valid||
172488|Istiophorus platypterus|(Shaw in Shaw and Nodder, 1792)|Species        |Reviewed|valid||
159924|Isurus oxyrinchus|Rafinesque, 1810|Species        |Reviewed|valid||
|Jynx torquila|||||
178150|Jynx torquilla|Linnaeus, 1758|Species        |Reviewed|valid||
183856|Kobus ellipsiprymnus|(Ogilby, 1833)|Species        |Reviewed|valid||
159910|Lamna ditropis|Hubbs and Follett, 1947|Species        |Reviewed|valid||
560720|Lanius collurio|Linnaeus, 1758|Species        |Reviewed|valid||
176824|Larus argentatus|Pontoppidan, 1763|Species        |Reviewed|valid||
176842|Larus audouinii|Payraudeau, 1826|Species        |Reviewed|invalid|824066|Ichthyaetus audouinii
176830|Larus delawarensis|Ord, 1815|Species        |Reviewed|valid||
176821|Larus fuscus|Linnaeus, 1758|Species        |Reviewed|valid||
631753|Lavia frons|(É. Geoffroy Saint-Hilaire, 1810)|Species        |Reviewed|valid||
572872|Lemur catta|Linnaeus, 1758|Species        |Reviewed|valid||
173839|Lepidochelys kempi|(Garman, 1880)|Species        |Reviewed|invalid|551770|Lepidochelys kempii
551770|Lepidochelys kempii|(Garman, 1880)|Species        |Reviewed|valid||
173840|Lepidochelys olivacea|(Eschscholtz, 1829)|Species        |Reviewed|valid||
180669|Leptonychotes weddellii|(Lesson, 1826)|Species        |Reviewed|valid||
552501|Lepus europaeus|Pallas, 1778|Species        |Reviewed|valid||
176687|Limosa lapponica|(Linnaeus, 1758)|Species        |Reviewed|valid||
176691|Limosa limosa|(Linnaeus, 1758)|Species        |Reviewed|valid||
|Lobatus gigas|||||
82374|Loligo forbesii|Steenstrup, 1856|Species        |Reviewed|valid||
164499|Lophius americanus|Valenciennes in Cuvier and Valenciennes, 1837|Species        |Reviewed|valid||
584939|Loxodonta africana|(Blumenbach, 1797)|Species        |Reviewed|valid||
609784|Loxodonta cyclotis|(Matschie, 1900)|Species        |Reviewed|valid||
|Loxodonta NA|||||
183833|Lycaon pictus|(Temminck, 1820)|Species        |Reviewed|valid||
180585|Lynx canadensis|Kerr, 1792|Species        |Reviewed|valid||
180584|Lynx lynx|(Linnaeus, 1758)|Species        |Reviewed|valid||
621869|Lynx pardinus|(Temminck, 1827)|Species        |Reviewed|valid||
180582|Lynx rufus|(Schreber, 1777)|Species        |Reviewed|valid||
631754|Macroderma gigas|(Dobson, 1880)|Species        |Reviewed|valid||
552740|Macropus rufus|(Desmarest, 1822)|Species        |Reviewed|valid||
172491|Makaira nigricans|Lacepède, 1802|Species        |Reviewed|valid||
160994|Manta alfredi|(Krefft, 1868)|Species        |Reviewed|invalid|160992|Manta birostris
175095|Mareca americana|(J. F. Gmelin, 1789)|Species        |Reviewed|valid||
1192581|Mareca strepera|(Linnaeus, 1758)|Species        |Reviewed|valid||
1086128|Martes caurina|(Merriam, 1890)|Species        |Reviewed|valid||
898200|Mazama gouazoubira|(G. Fischer [von Waldheim], 1814)|Species        |Reviewed|valid||
180530|Megaptera novaeangliae|(Borowski, 1781)|Species        |Reviewed|valid||
175167|Melanitta deglandi|(Bonaparte, 1850)|Species        |Reviewed|valid||
621922|Meles meles|(Linnaeus, 1758)|Species        |Reviewed|valid||
554661|Merops apiaster|Linnaeus, 1758|Species        |Reviewed|valid||
180517|Mesoplodon densirostris|(Blainville, 1817)|Species        |Reviewed|valid||
550562|Micropterus dolomieu|Lacepède, 1802|Species        |Reviewed|valid||
175470|Milvus milvus|(Linnaeus, 1758)|Species        |Reviewed|valid||
175469|Milvus migrans|(Boddaert, 1783)|Species        |Reviewed|valid||
175470|Milvus milvus|(Linnaeus, 1758)|Species        |Reviewed|valid||
180672|Mirounga angustirostris|(Gill, 1866)|Species        |Reviewed|valid||
180671|Mirounga leonina|(Linnaeus, 1758)|Species        |Reviewed|valid||
|Mobula birostris|||||
564407|Mobula tarapacana|(Philippi, 1893)|Species        |Reviewed|valid||
|Mokopirirakau NA|||||
173414|Mola mola|(Linnaeus, 1758)|Species        |Reviewed|valid||
180659|Monachus monachus|(Hermann, 1779)|Species        |Reviewed|valid||
180661|Monachus schauinslandi|Matschie, 1905|Species        |Reviewed|invalid|1133135|Neomonachus schauinslandi
180485|Monodon monoceros|Linnaeus, 1758|Species        |Reviewed|valid||
174712|Morus bassanus|(Linnaeus, 1758)|Species        |Reviewed|valid||
561224|Morus capensis|(Lichtenstein, 1823)|Species        |Reviewed|valid||
561225|Morus serrator|(G. R. Gray, 1843)|Species        |Reviewed|valid||
174897|Mycteria americana|Linnaeus, 1758|Species        |Reviewed|valid||
624911|Myrmecophaga tridactyla|Linnaeus, 1758|Species        |Reviewed|valid||
573040|Nasalis larvatus|(van Wurmb, 1787)|Species        |Reviewed|valid||
552462|Nasua narica|(Linnaeus, 1766)|Species        |Reviewed|valid||
949133|Natator depressus|(Garman, 1880)|Species        |Reviewed|valid||
561476|Necrosyrtes monachus|(Temminck, 1823)|Species        |Reviewed|valid||
160433|Negaprion brevirostris|(Poey, 1868)|Species        |Reviewed|valid||
175212|Neochen jubata|(Spix, 1825)|Species        |Reviewed|valid||
180623|Neophoca cinerea|(Péron, 1816)|Species        |Reviewed|valid||
175481|Neophron percnopterus|(Linnaeus, 1758)|Species        |Reviewed|valid||
824865|Neophron percnopterus percnopterus|(Linnaeus, 1758)|Subspecies     |Reviewed|valid||
177499|Nestor meridionalis|(Gmelin, 1788)|Species        |Reviewed|valid||
555476|Ninox strenua|(Gould, 1838)|Species        |Reviewed|valid||
|Notamacropus rufogriseus|||||
176599|Numenius phaeopus|(Linnaeus, 1758)|Species        |Reviewed|valid||
632069|Nyctalus noctula|(Schreber, 1774)|Species        |Reviewed|valid||
180639|Odobenus rosmarus|(Linnaeus, 1758)|Species        |Reviewed|valid||
180698|Odocoileus hemionus|(Rafinesque, 1817)|Species        |Reviewed|valid||
898457|Odocoileus hemionus columbianus|(Richardson, 1829)|Subspecies     |Reviewed|valid||
898463|Odocoileus hemionus sitkensis|Merriam, 1898|Subspecies     |Reviewed|valid||
180699|Odocoileus virginianus|(Zimmermann, 1780)|Species        |Reviewed|valid||
161979|Oncorhynchus nerka|(Walbaum in Artedi, 1792)|Species        |Reviewed|valid||
161980|Oncorhynchus tshawytscha|(Walbaum in Artedi, 1792)|Species        |Reviewed|valid||
180469|Orcinus orca|(Linnaeus, 1758)|Species        |Reviewed|valid||
180713|Oreamnos americanus|(Blainville, 1816)|Species        |Reviewed|valid||
180129|Oryctolagus cuniculus|(Linnaeus, 1758)|Species        |Reviewed|valid||
625181|Oryx leucoryx|(Pallas, 1777)|Species        |Reviewed|valid||
|Osphranter robustus|||||
180619|Otaria flavescens|(Shaw, 1800)|Species        |Reviewed|invalid|552767|Otaria byronia
552475|Ovis aries|Linnaeus, 1758|Species        |Reviewed|valid||
552812|Ovis aries musimon|(Pallas, 1811)|Subspecies     |Reviewed|valid||
898929|Ovis aries musimon|von Schreber, 1782|Subspecies     |Reviewed|invalid|552812|Ovis aries musimon
180711|Ovis canadensis|Shaw, 1804|Species        |Reviewed|valid||
|Ovis gmelini|||||
|Ovis gmelini musimon|||||
622022|Pagophilus groenlandicus|(Erxleben, 1777)|Species        |Reviewed|valid||
175590|Pandion haliaetus|(Linnaeus, 1758)|Species        |Reviewed|valid||
183803|Panthera leo|(Linnaeus, 1758)|Species        |Reviewed|valid||
180593|Panthera onca|(Linnaeus, 1758)|Species        |Reviewed|valid||
183804|Panthera pardus|(Linnaeus, 1758)|Species        |Reviewed|valid||
183805|Panthera tigris|(Linnaeus, 1758)|Species        |Reviewed|valid||
933420|Panthera uncia|(Schreber, 1775)|Species        |Reviewed|invalid|183811|Uncia uncia
552970|Panulirus cygnus|George, 1962|Species        |Reviewed|valid||
944211|Papio anubis|(Lesson, 1827)|Species        |Reviewed|valid||
573033|Papio hamadryas|(Linnaeus, 1758)|Species        |Reviewed|valid||
944210|Papio ursinus|(Kerr, 1792)|Species        |Reviewed|valid||
676899|Patagioenas fasciata|(Say, 1822)|Species        |Reviewed|valid||
1086061|Pekania pennanti|(Erxleben, 1777)|Species        |Reviewed|valid||
174669|Pelecanoides urinatrix|(Gmelin, 1789)|Species        |Reviewed|valid||
174692|Pelecanus crispus|Bruch, 1832|Species        |Reviewed|valid||
174684|Pelecanus erythrorhynchos|Gmelin, 1789|Species        |Reviewed|valid||
174687|Pelecanus occidentalis carolinensis|Gmelin, 1789|Subspecies     |Reviewed|valid||
180459|Peponocephala electra|(Gray, 1846)|Species        |Reviewed|valid||
|Pezoporuso occidentalis|||||
174676|Phaethon lepturus|Daudin, 1802|Species        |Reviewed|valid||
174733|Phalacrocorax aristotelis|(Linnaeus, 1761)|Species        |Reviewed|valid||
174734|Phalacrocorax atriceps|King, 1828|Species        |Reviewed|invalid|824003|Leucocarbo atriceps
174732|Phalacrocorax verrucosus|(Cabanis, 1875)|Species        |Reviewed|invalid|824005|Leucocarbo verrucosus
175663|Phalcoboenus australis|(J. F. Gmelin, 1788)|Species        |Reviewed|valid||
552677|Phascolarctos cinereus|(Goldfuss, 1817)|Species        |Reviewed|valid||
|Pheobastria immutabilis|||||
|Pheobastria nigripes|||||
180644|Phoca hispida|Schreber, 1775|Species        |Reviewed|invalid|622018|Pusa hispida
180642|Phoca largha|Pallas, 1811|Species        |Reviewed|valid||
